Date,Location,Humidity3pm,Humidity9am,MaxTemp,MinTemp,Pressure3pm,Pressure9am,Rainfall,Temp9am
2016-07-31,Perth,67,83,15.6,12.3,1023.2,1018.5,6.4,12.5
2016-08-01,Perth,44,77,15.8,1.6,1029,1031.9,0.8,8.1
2016-08-02,Perth,40,61,17.3,2.3,1021.3,1026.3,0,10.2
2016-08-03,Perth,43,52,17.8,4.6,1015.1,1016.4,0,11.8
2016-08-04,Perth,82,97,15.9,11.8,1015.3,1016.7,3,12.7
2016-08-05,Perth,70,99,16.7,7.1,1017.4,1019.9,3,11
2016-08-06,Perth,77,80,17.7,9.2,1008.9,1013.3,0,13.6
2016-08-07,Perth,45,63,17.7,10.3,1012.9,1013.4,5,14.6
2016-08-08,Perth,71,69,15.1,10.3,1015.8,1014.9,12.2,12.9
2016-08-09,Perth,51,67,17,10.5,1020.3,1021.5,5.2,13
2016-08-10,Perth,63,93,18.4,8.6,1022.1,1024.5,4.8,11.6
2016-08-11,Perth,56,76,19.3,11.5,1017.3,1020,0.4,13.9
2016-08-12,Perth,43,89,17.9,4.9,1024.8,1026.6,5.4,11.1
2016-08-13,Perth,44,69,19.7,6.4,1023.8,1027.7,0,12.6
2016-08-14,Perth,43,68,21.9,4.6,1013.9,1020,0,11.8
2016-08-15,Perth,66,61,19.6,8.9,1012.8,1012.8,0.2,18
2016-08-16,Perth,52,91,19.9,7.4,1015.4,1018.6,4,12.1
2016-08-17,Perth,70,94,16.2,12.1,1003.2,1002.9,1.6,14.8
2016-08-18,Perth,55,81,15.4,5.5,1021.7,1021.7,17.4,9.7
2016-08-19,Perth,67,73,15.9,9.5,1022.1,1024.7,0,11
2016-08-20,Perth,58,97,17.9,9.1,1019.2,1021.2,2.8,11.5
2016-08-21,Perth,59,92,18.5,7.3,1014.8,1019.2,1.6,10.3
2016-08-22,Perth,49,72,16.3,7.5,1020.9,1022.3,7.4,10.8
2016-08-23,Perth,40,66,16.8,3.3,1022.3,1025.3,0,10.6
2016-08-24,Perth,42,66,17.1,3.8,1023.5,1026.6,0,10
2016-08-25,Perth,45,69,18.7,6.2,1019.5,1025.4,0,12
2016-08-26,Perth,40,46,21.5,12,1007.6,1012.9,0,16.5
2016-08-27,Perth,72,78,17,11.2,1003.6,1003.1,31,14.6
2016-08-28,Perth,63,69,16.5,10.9,1010.8,1011.3,7.6,14
2016-08-29,Perth,57,70,17.6,11.1,1015.4,1016.7,0,13.5
2016-08-30,Perth,57,77,18.2,4.5,1015.3,1018.2,0,11.5
2016-08-31,Perth,60,96,17.2,10.9,1014.3,1012.7,9.8,13
